Type1,Count1,Type2,Count2,Type3,Count3
Arts & Entertainment,25,Pets,0,Pets,0
Organic Stores,0,International Grocery,1,Luggage,24
Cards & Stationery,25,Tours,0,Limos,0
Cards & Stationery,25,Tours,0,Train Stations,0
Comedy Clubs,23,Ramen,2,Middle Eastern,0
Comedy Clubs,23,Japanese,2,Middle Eastern,0
Bars,26,Dermatologists,0,Doctors,0
Bars,26,Doctors,0,Doctors,0
Pilates,0,Yoga,1,Hiking,24
Fitness & Instruction,0,Fitness & Instruction,1,Hiking,24
Tanning,0,Massage,0,Pets,25
Beauty & Spas,0,Beauty & Spas,0,Pets,25
Pilates,0,Gyms,1,Hiking,25
Fitness & Instruction,0,Fitness & Instruction,1,Hiking,25
Makeup Artists,0,Local Flavor,25,Hair Stylists,0
Beauty & Spas,0,Local Flavor,25,Beauty & Spas,0
Photographers,4,Tutoring Centers,16,Party Bus Rentals,5
American (Traditional),0,Barre Classes,25,Southern,0
American (Traditional),0,Fitness & Instruction,25,Southern,0
Marketing,26,Airport Shuttles,0,Limos,0
Marketing,26,Train Stations,0,Train Stations,0
Dermatologists,0,Nightlife,25,Doctors,0
Veterinarians,0,Limos,25,Pets,1
Pets,0,Hotels & Travel,25,Pets,1
Tattoo,3,Makeup Artists,0,Wedding Chapels,22
Churches,26,Car Rental,0,Hotels & Travel,0
Religious Organizations,26,Hotels & Travel,0,Hotels & Travel,0
Churches,25,RV Rental,0,Vacation Rentals,0
Education,25,Dentists,0,Orthodontists,0
Education,25,Health & Medical,0,Health & Medical,0
Hostels,0,Limos,25,Hotels,0
Hostels,0,Train Stations,25,Hotels,0
Tires,0,Automotive,0,Buffets,25
Automotive,0,Automotive,0,Restaurants,25
Accountants,0,Lawyers,0,Buffets,25
Landmarks & Historical Buildings,23,Airports,0,Transportation,3
Landmarks & Historical Buildings,23,Airports,0,Train Stations,3
Police Departments,0,Air Duct Cleaning,26,Departments of Motor Vehicles,0
Ice Cream & Frozen Yogurt,0,Food,0,Real Estate,25
Food,0,Food,0,Home Services,25
Indian,0,Auto Detailing,25,Szechuan,0
Indian,0,Auto Detailing,25,Chinese,0
Food,25,Transportation,0,Airlines,0
Food,25,Hotels & Travel,0,Hotels & Travel,0
Education,0,Preschools,0,Nightlife,25
Education,0,Education,0,Nightlife,25
Bars,0,Pets,25,Lounges,0
Arcades,2,Arts & Entertainment,0,Test Preparation,24
Arts & Entertainment,2,Arts & Entertainment,0,Education,24
Martial Arts,3,Aquariums,22,Dance Clubs,1
Fitness & Instruction,3,Aquariums,22,Dance Clubs,1
Fertility,0,Nightlife,25,Doctors,0
Education,0,Casinos,26,Preschools,0
Education,0,Arts & Entertainment,26,Education,0
Preschools,25,Dentists,0,Orthodontists,0
Preschools,25,Dentists,0,Dentists,0
American (Traditional),0,Nightlife,25,American (New),0
Restaurants,0,Nightlife,25,Restaurants,0
Coffeeshops,0,Nightlife,2,Pets,23
Notaries,10,Laundromat,1,Buffets,14
Notaries,10,Laundry Services,1,Buffets,14
Leather Goods,22,Barre Classes,2,Sports Clubs,1
Fashion,22,Fitness & Instruction,2,Sports Clubs,1
Gelato,22,Vegan,4,Salad,0
Adult Entertainment,0,Dance Clubs,0,Churches,25
Plumbing,0,Electricians,0,Pets,25
Home Services,0,Home Services,0,Pets,25
Pubs,0,Bars,0,Pets,25
Bars,0,Bars,0,Pets,25
Golf,0,Lakes,19,Trainers,6
Golf,0,Lakes,19,Fitness & Instruction,6
Ticket Sales,23,Swimming Lessons/Schools,1,Trainers,1
Ticket Sales,23,Specialty Schools,1,Fitness & Instruction,1
Bars,0,Nightlife,0,Pets,26
Nightlife,0,Nightlife,0,Pets,26
Airports,0,Public Transportation,0,Watch Repair,26
Airports,0,Train Stations,0,Watch Repair,26
Public Services & Government,26,Bars,0,Dance Clubs,0
Public Services & Government,26,Nightlife,0,Nightlife,0
Automotive,1,Buffets,24,Parking,0
Automotive,1,Restaurants,24,Automotive,0
Auto Customization,0,Religious Organizations,26,RV Repair,0
Automotive,0,Religious Organizations,26,Automotive,0
Burgers,0,Cafes,0,Sewing & Alterations,25
Nail Salons,19,Restaurants,0,Barbeque,6
Beauty & Spas,19,Restaurants,0,Restaurants,6
Golf,25,Pilates,0,Yoga,0
Golf,25,Fitness & Instruction,0,Fitness & Instruction,0
Security Services,0,French,25,Bankruptcy Law,0
Security Services,0,French,25,Lawyers,0
Gay Bars,0,Bars,0,Magicians,25
Bars,0,Bars,0,Magicians,25
